English Title,Chinese Title,Overview,英文译名,翻译理由
The Promise,无极,"An orphaned girl, driven by poverty at such a young age, makes a promise with an enchantress. In return for beauty and the admiration of every man, she will never be with the man she loves. This spell cannot be broken unless the impossible happens: snow falling in spring and the dead coming back to life. Now a grown and beautiful princess, she regrets her promise, for all of the men she's loved has always been met with tragedy.",*The Boundless Promise*,“无极”原意为“无穷”“无界”，在影片中象征命运的无尽轮回与人心的欲望无边；结合剧情中“誓约”这一核心意象，将其译为 *The Boundless Promise*，既保留了“无极”的哲理意味，又点出故事的宿命主题。
A Year in the Clouds,司馬庫斯,"High in the mountains of Taiwan, is the remote village of Smangus. Inhabited by a unique group of indigenous people called the Tayal, Smangus is the only place in Taiwan that now practices common ownership of land and property. This is a place where nature and man have found balance. Now, witness every part of the lives of these people, through pain and joy, and experience the unique bonds formed with the ancient trees around them, in a film that documents A Year In The Clouds - a year amongst the sacred forests of this tribe.",*Smangus: The Village Above the Clouds*,“司馬庫斯”是泰雅族语地名，直接音译为 *Smangus* 可保留其文化独特性；副标题 *The Village Above the Clouds* 既传达了高山云端的意象，也暗示了人与自然和谐共生的精神氛围。
Master Of The Shadowless Kick: Wong Kei-Ying,擎天無影腳黃麒英,A quiet physician from southern China masters martial arts to protect his son and stop a corrupt governor.,*The Shadowless Kick: Master Wong Kei-ying*,“擎天無影腳”是武术绝技的称号，译为 *The Shadowless Kick* 既保留了中国功夫的传奇色彩，又简洁有力；加上人物名 *Master Wong Kei-ying*，既点出主角身份，也符合西方观众对功夫片标题的期待与语感。
Monster Hunt,捉妖记,Young monster kids try to make peace between the world of humans and the world of the monsters.,*Monster Hunt*,“捉妖”原意为捕捉妖怪，但影片基调轻松奇幻，带有冒险与和解的意味，用 *Hunt* 既保留“捉”的动作感，又不显暴力；整体简洁有力，符合英文奇幻片的命名习惯。
Sparkling Red Star,闪闪的红星 孩子的天空,"An animated remake of the 1974 children's movie ""Shan shan de hong xing""",**译名：** *The Shining Red Star: A Child’s Sky*,“闪闪的红星”象征理想与信念的光芒，用 *The Shining Red Star* 既保留了象征意义，又自然流畅；“孩子的天空”寓意童真与希望，用 *A Child’s Sky* 传达出温暖与成长的主题，两者并列体现出影片的传承与新生。
Wonderful! Liang Xi Mei,旺得福梁细妹,"Liang Xi Mei (Jack Neo) is finally back! Having retired, Liang Xi Mei spends her time looking after her two obedient grandsons. However, Liang Xi Mei still leads a colorful life thanks to her absent-minded BFF Guang Dong Po (Wang Lei), who frequently muddles things up, leaving Liang Xi Mei to resolve the mess; and Lion King (Henry Thia) who is now diagnosed with mild Alzheimer’s, causing confusion and frustrations for everyone. Robert (Mark Lee), Liang Xi Mei’s eldest son also adds to her woes. Robert is a dreamer who often schemes to get rich quick. This causes Liang Xi Mei to find him unreliable and puts all her hopes on her youngest son Albert (Benjamin Josiah Tan). Her favoritism stirs up jealousy within Robert, who vows to strike it rich to win back Liang Xi Mei’s approval.",*Lucky Grandma Liang*,“旺得福”谐音 “Wonderful”，又含“旺”“福”之意，体现吉祥、好运的喜剧氛围；“梁细妹”是角色名，带有亲切的本土色彩。译为 *Lucky Grandma Liang* 既保留了“福气”“长辈”形象的文化意象，又在英文语境中自然易懂，符合影片轻松喜剧的气质。
Saturday Fiction,兰心大剧院,"Iconic actress Jean Yu returns to Japanese-occupied China to star in a play directed by her former lover. However, her undercover work for the Allies soon places her life in grave danger.",*The Lyceum of Hidden Hearts*,“兰心”原意含有“兰花般的心性”，象征高洁与隐秘情感；“大剧院”则指舞台与表演之地。我将其意象化为 *The Lyceum of Hidden Hearts*，既保留剧院氛围，又暗示人物在乱世中掩藏的情感与身份，符合影片的谍战与戏剧双重主题。
The Sacrifice,金刚川,"In 1953 the Korean War is entering the final stage. The People's Volunteer Army of China has launched its last major battle in Kumsong. In order to arrive on time and deliver enough ammo to the Kumsong front line, the soldiers have to defend themselves against the never ending bombardments of enemy bombers and race against time to repair the last bridge, all while facing supply shortages and with inferior equipment.",*The Bridge of Valor*,“金刚川”既是地名，又象征着坚不可摧的意志与牺牲精神。译为 *The Bridge of Valor* 既突出了影片核心场景“桥”，又传达出士兵在战火中展现的勇气与坚韧，符合英文语境的表达习惯。
The Traveller,异人之下,"Zhang Chulan, who has been hiding his identity as an Inhuman, is caught up in the vortex of fighting between different Inhuman sects since he meets Feng Baobao, who has a mysterious background. As the secret that Zhang Chulan is the heir to the mysterious technique ""Air Body Source Stream"" is made public, the Inhuman world has started a fierce battle around him, with forces such as Nadutong, Quanxie Sect, Tianyi Sect, and so on appearing one by one and the battle is about to break out, but at this time, Zhang Chulan accidentally unveils the secret of the year....",*Beyond the Mortal Realm*,“异人”指超越常人的修行者或异能者，“之下”暗含凡人与超凡者的界限与张力。“Beyond the Mortal Realm”既传达出超脱凡俗、涉入异界的意味，又保留了原题的神秘与玄幻气质，符合英文语境下的奇幻动作片风格。
Mulan Angels 2: Treasure Map,木兰特工之藏宝图,"There is Mulan Secret Service Organization and they’re Mulan second-generation female agents - Wei Xiaohua (played by Li Xianglin) and Mu Yi (played by Qiu Zixin) And He Zhaoyang (Zhu Hong) to carry out the task of fighting for the treasure map of burying nuclear waste and rare earths. He Zhaoyang tempted the pirate leader Dawton, who was holding a treasure map with her beauty, but almost fell into the trap set by Dawton and Mrs. J, the highest commander of the European Division of the Red Corpse Group. Fortunately, Wei Xiaohua was rescued in time, and with the help of the only surviving agent of the first generation, the only surviving agent of the first generation, Park Enxi",*Mulan Agents: The Treasure Map*,“木兰特工”体现了以“花木兰”精神为象征的女性特工群体，因此用 *Mulan Agents* 既保留文化意象，又自然贴合英文语境；“之藏宝图”则简洁转化为 *The Treasure Map*，突出冒险与任务主题，整体读起来像一部动作冒险片的标题。
Youth,芳华,"A group of performing art troupe members each face their own trials and tribulations in Chengdu; from escaping a family scandal to dealing with unrequited love, each experiences rejection that shapes their lives.",*The Blooming Years*,“芳华”原意为青春芳香、年华正盛，带有诗意与怀旧感。“The Blooming Years”既传达了青春绽放的意象，又暗含易逝的美好，符合影片对青春与时代记忆的感伤基调。
Return to Lanruo Temple,兰若行者,"Soon after exorcist Yan Chixia (from ""Chinese Ghost Story"") retired, the Black Mountain monsters disturbed the surrounding area one more time, and experts from Kunlun sect could not even handle it. The messenger in the village trusted by Yan Chixia informed of the appearance of the dead soul flower and the strange apparitions around the village, and asked Yan Chixia for help. Yan Chixia did not follow the little monster's advice and decided to go out and investigate.",*The Wanderer of Lanruo*,“兰若”指“兰若寺”，在中国志怪传统中常与幽灵、幻境相连；“行者”既有“游方道人”之意，也暗示孤独修行者的身份。译为 *The Wanderer of Lanruo* 既保留了地名的文化韵味，又传达出主角游历、除魔的气质。
160 Years Old,雨打芭蕉,"A father who cannot cure his own stubborn illness, a professor mother who struggles with existential questions, a son who is confused and precocious, a giant tortoise that suddenly leaves, and a sentimental grandfather who passed away. The uncle cannot finish reading THE OLD MAN AND THE SEA. The aunt won't get married. The grandfather is his own daughter's enemy. The uncle does not want to return from the Philippines. And an unborn child. Summer goes, and autumn comes. Things remain, but people change.",*Raindrops on the Banana Leaves*,“雨打芭蕉”在中文中常唤起一种细腻、孤寂、略带禅意的意象，象征时间流逝与人生无常。译为 *Raindrops on the Banana Leaves* 保留了这种诗意与东方意境，同时在英文中读来自然、富有画面感。
The Iron Coffin of Western Xia,洗冤录之西夏铁棺,"The King of Western Xia has a precious garment called ""Bi Lu"", which is said to be able to help mortals to ascend to immortality. The emperor is furious and orders Song Ci to find out the truth, whether it is the Western Xia that has the intention to rebel or whether it is really the treasure clothes that hook the soul.",*The Iron Coffin of Western Xia*,“铁棺”直译为 *Iron Coffin*，保留了悬疑与古风气息；“西夏”作为历史王朝名，直接音译 *Western Xia*，既传达地域与时代背景，又保留中国文化特色。整体标题简洁有力，符合英文片名的叙事感与神秘氛围。
White Snake: Afloat,白蛇：浮生,"Xiaobai finally found Xu Xian, the reincarnation of Axuan, after 500 years, the two met on the Broken Bridge. Xiaobai and sister hid in the streets and alleys, started a lively life in human world with him and his brother-in-law Li Gongfu.",*White Snake: Mortal Veil*,“浮生”原意有“尘世”“短暂人生”之意，我用 *Mortal Veil* 既传达出“人世的幻象与短暂”，又保留了东方神话中“蛇妖入世”的神秘感，使标题在英文语境中既诗意又富有文化意象。
The Fatality,絕魂印,"Somehow, a mentally disturbed 30-year-old man from Taipei finds himself waking up out of a coma in a hospital in a small coastal town in Thailand.  A woman is at his bedside, calling him Assanee. But that's not his name. His name is Her Sue Yong. And besides, he can't speak Thai. He leaps from his bed and runs, and the nurses give chase.  In Taiwan, he was a bedraggled, long-haired scavenger. He had a disfigured face. But in Thailand, the skin on his face is smooth and his hair is short. He's a clean-cut young man with a beautiful wife. And he has a job as a civil servant in a government office. His inability to speak Thai is no problem at work. Heck, there's even a deaf-mute on the staff. All Assanee has to do is wait for people to hand him forms, and he stamps them. Seems easy enough.",*Seal of the Lost Soul*,“絕魂”意为灵魂断绝、失落，“印”既指印章，也象征命运的烙印。译为 *Seal of the Lost Soul* 既保留了“印”的象征意味，又传达出灵魂错位与身份迷失的主题，语感上也符合悬疑或心理惊悚片的氛围。
The Myth,神話,"When a fellow scientist asks for Jack's help in locating the mausoleum of China's first emperor, the past collides violently with the present as Jack discovers his amazing visions are based in fact.",*The Eternal Legend*,“神话”原意为“myth”，但影片融合了历史、爱情与超越时空的宿命感，用 *The Eternal Legend* 能更好传达那种跨越古今、带有浪漫与神秘色彩的中国式史诗氛围，同时在英文语境中更自然、富有吸引力。
Free as Love,浮生若夢,"Little Three was originally a cheerful and full of sense of the girl, since cousin Xiaoying  to save her into the sea after they began to banish themselves, but also redefine the weight of the feelings. Xiao Tai. As a matter of skill, a police academy was arranged to the undercover society, in her kind heart, there has always been the right and wrong contradictions and struggles. Fight, in her lost world, became her only emotional outlet.","*Life, A Fleeting Dream*","“浮生若梦”出自中国古典意象，意为“人生如梦、转瞬即逝”。译为 *Life, A Fleeting Dream* 既保留了原片名的诗意与哲理感，又在英文语境中自然流畅，传达出对生命无常与情感迷惘的思索。"
Taishan Kung Fu,泰山功夫,"Liu Wenhu, the owner of the Liu's Martial Arts Hall in Mount Tai, sets up competitions every year with big money as bait. For several years in a row, he defeated the martial arts masters who came to challenge. So he dominated the country, ran rampant in the village, oppressed the people, and seized the people's daughters. Shi Xiaoyi, the successor of Taishan Stone Art, saw it in his eyes and was angry in his heart.",*Kung Fu of Mount Tai*,“Mount Tai”保留了“泰山”在中国文化中的象征意义（庄严、正气、精神象征），而“Kung Fu”则传达出影片的武术主题与东方韵味。整体简洁自然，兼具地域与文化辨识度。
The Ghost Story: Lin Suk,聊齋艷譚：连锁,"In the latest version of ""Liao Zhai: Lian Suo"" released in 2014, the scholar Yang Ziwei met Lian Suo at a cemetery. The two did not do that, but wrote poems and painted every night. His friend Xue Sheng learned that Yang Ziwei had a woman with him every night, so he brought his friends to visit Yang's house, which frightened Lian Suo so much that she dared not show up. Yang asked Lian Suo for forgiveness. Later, Lian Suo cried and complained that an evil ghost wanted to force her to be a concubine. Yang fought the evil ghost with a sword in her dream. At the critical moment, she and a warrior named Wang shot the evil ghost to death. Yang and Lian Suo were together every day. One day, Lian told Yang that because she had been eating cooked food and receiving human breath for a long time after she died, her bones had become alive and she had the conditions for resurrection, but she had to have sex with Yang. However, Yang would definitely get a serious illness.",**译名：** *Tales of Liaozhai: The Enchained Spirit*,“聊斋”是中国古代志怪文学的象征，我用 *Tales of Liaozhai* 来保留其文化意象；“连锁”既指“锁链”也暗示命运与情感的纠缠，因此译为 *The Enchained Spirit*，既传达了鬼魅爱情的主题，又保留了古典志怪的氛围。
The Warlords,投名狀,The civil war in China has ruined many lives including General Pang's. A wounded General Pang is saved by a beautiful young woman along with two other men. Together they vow to eradicate the rebels.,*Oath of Brotherhood*,“投名狀”原指结义时写下的血誓文书，蕴含忠义与宿命的意味。译为 *Oath of Brotherhood* 既传达了结盟立誓的核心意象，又保留了中国传统“义气”文化的精神内核。
Reign of Assassins,剑雨,"Set in ancient China, Zeng Jing is a skilled assassin who finds herself in possession of a mystical Buddhist monk's remains. She begins a quest to return the remains to its rightful resting place, and thus places herself in mortal danger because a team of assassins is in a deadly pursuit to possess the remains which holds an ancient power-wielding secret.",*Blades in the Rain*,“剑雨”原意既指剑光如雨、杀机密集，也带有江湖诗意与宿命感。译为 *Blades in the Rain* 既保留了“剑”与“雨”的意象，又在英文中营造出一种冷峻、诗意的武侠氛围，符合影片的古代江湖背景与宿命主题。
Ma Yongzhen: Duel in Zhabei,马永贞之闸北决,"This film tells the story of Ma Yongzhen, who was born in a family of martial arts in the early years of the Republic of China. In order to help the people of Shanghai's Zhabei district, Teacher Ma ventured into danger alone, relying on his martial arts and a fiery patriotic heart to fight the Five Lakes Gang and the French martial artists.",*Ma Yongzhen: The Battle of Zhabei*,“闸北决”中的“决”既有“决战”之意，也暗含生死对决的气势，因此用 *The Battle of Zhabei* 既传达出激烈冲突，又保留了地域色彩；在英文语境中也符合动作与英雄题材影片的命名习惯。
Nine Colors Deer King,九色鹿王·前尘,"Huanyi Village had a strange disease rampant. Under the guidance of Elder Xi, the mountain guardian Changsheng searched for medicinal herbs for the villagers, but this was inefficient and dangerous, so Changsheng decided to find the legendary Nine-color Deer King to save the village; In the middle of the story, the demon queen strayed to control the palace and sought the trace of the nine-colored deer king in order to practice sorcery",*The Nine-Colored Deer King: Echoes of the Past*,“前尘”含有“往昔”“前世因缘”之意，用 *Echoes of the Past* 既传达出宿命与回溯的意味，又保持诗意与神秘感；整体标题保留了“九色鹿王”的神话色彩，符合奇幻史诗类影片的英文语感。
Iron Kung Fu Fist,广东十虎：铁拳无敌,"Liang Kun has been practicing Shaolin kung fu for years. To protect his beloved, he vows not to interfere with matters of the martial arts world. But then, the person he loves the most dies tragically as a result. Finally grasping the true meaning of the martial arts world, Liang Kun decides to fight various groups of bandits in order to avenge his beloved.",*Ten Tigers of Canton: The Invincible Iron Fist*,“广东十虎”是清末民初著名的武林群英，译为 *Ten Tigers of Canton* 既保留地域与文化色彩，又符合英语世界对“Canton”的历史称呼；“铁拳无敌”则以 *The Invincible Iron Fist* 传达主角刚烈不屈、武功无双的气势，整体语感贴近传统功夫片的风格。
