English Title,Chinese Title,Overview,英文译名,翻译理由
The Promise,无极,"An orphaned girl, driven by poverty at such a young age, makes a promise with an enchantress. In return for beauty and the admiration of every man, she will never be with the man she loves. This spell cannot be broken unless the impossible happens: snow falling in spring and the dead coming back to life. Now a grown and beautiful princess, she regrets her promise, for all of the men she's loved has always been met with tragedy.",,该译名将“无极”（Boundless/Infinite）的哲学意涵与剧情的核心——女主角的悲剧性誓约（Promise）相结合。它强调了诅咒的绝对性与史诗般的规模，使抽象的中文片名更具英文语境下的戏剧张力与可看性。
A Year in the Clouds,司馬庫斯,"High in the mountains of Taiwan, is the remote village of Smangus. Inhabited by a unique group of indigenous people called the Tayal, Smangus is the only place in Taiwan that now practices common ownership of land and property. This is a place where nature and man have found balance. Now, witness every part of the lives of these people, through pain and joy, and experience the unique bonds formed with the ancient trees around them, in a film that documents A Year In The Clouds - a year amongst the sacred forests of this tribe.",The Tayal Sanctuary of Smangus,该译名保留了作为地理专名的“Smangus”，并搭配“The Tayal Sanctuary”（泰雅族的圣所）以强调其文化属性。这突出了纪录片中特有的原住民社群（Tayal）及其对土地与传统的守护，而非仅是一个地理地点。
Master Of The Shadowless Kick: Wong Kei-Ying,擎天無影腳黃麒英,A quiet physician from southern China masters martial arts to protect his son and stop a corrupt governor.,,我将“擎天”译为“The Pillar of Heaven”，以凸显黄麒英作为英雄人物，支撑社稷，对抗腐败的宏大身份。此译名结构结合了主角的尊称（Master Huang）和其传奇武学（Shadowless Kick），贴合英文武侠电影的叙事风格。
Monster Hunt,捉妖记,Young monster kids try to make peace between the world of humans and the world of the monsters.,,
Sparkling Red Star,闪闪的红星 孩子的天空,"An animated remake of the 1974 children's movie ""Shan shan de hong xing""",The Radiant Red Star: A Child's Horizon,“Radiant Red Star”既保留了原片名核心的象征意义（红星），又用“Radiant”来体现“闪闪的”所蕴含的理想主义与希望；“A Child's Horizon”则将“孩子的天空”转化为更具前瞻性的英文表达，意指革命理想为孩子开辟的广阔未来。
Wonderful! Liang Xi Mei,旺得福梁细妹,"Liang Xi Mei (Jack Neo) is finally back! Having retired, Liang Xi Mei spends her time looking after her two obedient grandsons. However, Liang Xi Mei still leads a colorful life thanks to her absent-minded BFF Guang Dong Po (Wang Lei), who frequently muddles things up, leaving Liang Xi Mei to resolve the mess; and Lion King (Henry Thia) who is now diagnosed with mild Alzheimer’s, causing confusion and frustrations for everyone. Robert (Mark Lee), Liang Xi Mei’s eldest son also adds to her woes. Robert is a dreamer who often schemes to get rich quick. This causes Liang Xi Mei to find him unreliable and puts all her hopes on her youngest son Albert (Benjamin Josiah Tan). Her favoritism stirs up jealousy within Robert, who vows to strike it rich to win back Liang Xi Mei’s approval.",Liang Xi Mei's Wonderful Fortune,此译名保留了主角名，并巧妙地将中文片名中“旺得福”与英文“Wonderful”的语音双关融入，体现了电影的喜剧色彩。同时，“Fortune”一词准确地传达了原片名中“旺”与“福”所蕴含的吉祥、兴旺的文化意涵。
Saturday Fiction,兰心大剧院,"Iconic actress Jean Yu returns to Japanese-occupied China to star in a play directed by her former lover. However, her undercover work for the Allies soon places her life in grave danger.",The Grand Orchid Stage,“The Grand Orchid Stage”保留了原片名中“兰”（Orchid）所象征的东方古典优雅，将其融入“大剧院”转化为更具戏剧性和氛围感的“舞台”（Stage）。此译名不仅突显了故事的核心场景，也暗示了间谍活动的高风险性质——所有秘密行动皆在聚光灯下进行。
The Sacrifice,金刚川,"In 1953 the Korean War is entering the final stage. The People's Volunteer Army of China has launched its last major battle in Kumsong. In order to arrive on time and deliver enough ammo to the Kumsong front line, the soldiers have to defend themselves against the never ending bombardments of enemy bombers and race against time to repair the last bridge, all while facing supply shortages and with inferior equipment.",,该译名将“金刚”（Jīngāng）蕴含的坚不可摧和极度韧性转化为“Unyielding”（不屈不挠），强调了士兵们在猛烈轰炸下持续修复和保卫桥梁的意志。同时，“Stream”对应“川”，使得译名既能体现关键地理位置的重要性，也富有战地史诗的凝重感。
The Traveller,异人之下,"Zhang Chulan, who has been hiding his identity as an Inhuman, is caught up in the vortex of fighting between different Inhuman sects since he meets Feng Baobao, who has a mysterious background. As the secret that Zhang Chulan is the heir to the mysterious technique ""Air Body Source Stream"" is made public, the Inhuman world has started a fierce battle around him, with forces such as Nadutong, Quanxie Sect, Tianyi Sect, and so on appearing one by one and the battle is about to break out, but at this time, Zhang Chulan accidentally unveils the secret of the year....",,
Mulan Angels 2: Treasure Map,木兰特工之藏宝图,"There is Mulan Secret Service Organization and they’re Mulan second-generation female agents - Wei Xiaohua (played by Li Xianglin) and Mu Yi (played by Qiu Zixin) And He Zhaoyang (Zhu Hong) to carry out the task of fighting for the treasure map of burying nuclear waste and rare earths. He Zhaoyang tempted the pirate leader Dawton, who was holding a treasure map with her beauty, but almost fell into the trap set by Dawton and Mrs. J, the highest commander of the European Division of the Red Corpse Group. Fortunately, Wei Xiaohua was rescued in time, and with the help of the only surviving agent of the first generation, the only surviving agent of the first generation, Park Enxi",Mulan Directive: The Secret Cartograph,使用“Mulan Directive”确立了组织代号和高级间谍任务的基调，将片名从简单的探险片提升为高风险的国际谍战片。将“藏宝图”转化为“The Secret Cartograph”，强调该图并非关于金银财宝，而是关于稀土和核废料的机密蓝图，更符合影片高科技间谍的背景。
Youth,芳华,"A group of performing art troupe members each face their own trials and tribulations in Chengdu; from escaping a family scandal to dealing with unrequited love, each experiences rejection that shapes their lives.",,
Return to Lanruo Temple,兰若行者,"Soon after exorcist Yan Chixia (from ""Chinese Ghost Story"") retired, the Black Mountain monsters disturbed the surrounding area one more time, and experts from Kunlun sect could not even handle it. The messenger in the village trusted by Yan Chixia informed of the appearance of the dead soul flower and the strange apparitions around the village, and asked Yan Chixia for help. Yan Chixia did not follow the little monster's advice and decided to go out and investigate.",The Ascetic of the Ghostly Sanctuary,“Ghostly Sanctuary”将兰若（Aranya）译为带有神秘和灵异色彩的地点，精准对应了《倩女幽魂》系列中兰若寺作为妖魔巢穴的文化意涵。“Ascetic”则突出了“行者”作为一位自律、苦行的修行者身份，而非普通的旅行者，符合燕赤霞的背景设定。
160 Years Old,雨打芭蕉,"A father who cannot cure his own stubborn illness, a professor mother who struggles with existential questions, a son who is confused and precocious, a giant tortoise that suddenly leaves, and a sentimental grandfather who passed away. The uncle cannot finish reading THE OLD MAN AND THE SEA. The aunt won't get married. The grandfather is his own daughter's enemy. The uncle does not want to return from the Philippines. And an unborn child. Summer goes, and autumn comes. Things remain, but people change.",,
The Iron Coffin of Western Xia,洗冤录之西夏铁棺,"The King of Western Xia has a precious garment called ""Bi Lu"", which is said to be able to help mortals to ascend to immortality. The emperor is furious and orders Song Ci to find out the truth, whether it is the Western Xia that has the intention to rebel or whether it is really the treasure clothes that hook the soul.",,
White Snake: Afloat,白蛇：浮生,"Xiaobai finally found Xu Xian, the reincarnation of Axuan, after 500 years, the two met on the Broken Bridge. Xiaobai and sister hid in the streets and alleys, started a lively life in human world with him and his brother-in-law Li Gongfu.",White Snake: A Fleeting World,主标题直接沿用《白蛇》这一经典的中国文化符号。副标题“A Fleeting World”译自“浮生”，意指凡间人世的短暂与无常，恰当地体现了神灵视角下对凡尘俗世转瞬即逝的体验。
The Fatality,絕魂印,"Somehow, a mentally disturbed 30-year-old man from Taipei finds himself waking up out of a coma in a hospital in a small coastal town in Thailand.  A woman is at his bedside, calling him Assanee. But that's not his name. His name is Her Sue Yong. And besides, he can't speak Thai. He leaps from his bed and runs, and the nurses give chase.  In Taiwan, he was a bedraggled, long-haired scavenger. He had a disfigured face. But in Thailand, the skin on his face is smooth and his hair is short. He's a clean-cut young man with a beautiful wife. And he has a job as a civil servant in a government office. His inability to speak Thai is no problem at work. Heck, there's even a deaf-mute on the staff. All Assanee has to do is wait for people to hand him forms, and he stamps them. Seems easy enough.",,
The Myth,神話,"When a fellow scientist asks for Jack's help in locating the mausoleum of China's first emperor, the past collides violently with the present as Jack discovers his amazing visions are based in fact.",,“Celestial Age”指代古代的辉煌与神性，体现了原片名“神話”的宏大感；“Echoes”则突显了剧情中过去与现在剧烈碰撞、命运不断回响的主题。
Free as Love,浮生若夢,"Little Three was originally a cheerful and full of sense of the girl, since cousin Xiaoying  to save her into the sea after they began to banish themselves, but also redefine the weight of the feelings. Xiao Tai. As a matter of skill, a police academy was arranged to the undercover society, in her kind heart, there has always been the right and wrong contradictions and struggles. Fight, in her lost world, became her only emotional outlet.",,该译名采用“Transient”来精准传达“浮生”的短暂、飘忽不定之感，避免了生硬的直译；“Reverie”指白日梦或遐想，恰当地表现了“若梦”的虚幻感，与主角在创伤后进入的自我放逐的迷失状态相呼应。该组合既保留了原片名的古典哲学意境，又在英文语境中流畅且富有诗意。
Taishan Kung Fu,泰山功夫,"Liu Wenhu, the owner of the Liu's Martial Arts Hall in Mount Tai, sets up competitions every year with big money as bait. For several years in a row, he defeated the martial arts masters who came to challenge. So he dominated the country, ran rampant in the village, oppressed the people, and seized the people's daughters. Shi Xiaoyi, the successor of Taishan Stone Art, saw it in his eyes and was angry in his heart.",Taishan's Iron Fist,此译名将“功夫”转化为“Iron Fist”（铁拳），强调了片中反派利用武术进行霸道统治和压迫的负面色彩，更具戏剧张力。保留“Taishan”直接点明了故事的文化地理背景，使译名既具备动作片的力度，也保留了核心的中国文化符号。
The Ghost Story: Lin Suk,聊齋艷譚：连锁,"In the latest version of ""Liao Zhai: Lian Suo"" released in 2014, the scholar Yang Ziwei met Lian Suo at a cemetery. The two did not do that, but wrote poems and painted every night. His friend Xue Sheng learned that Yang Ziwei had a woman with him every night, so he brought his friends to visit Yang's house, which frightened Lian Suo so much that she dared not show up. Yang asked Lian Suo for forgiveness. Later, Lian Suo cried and complained that an evil ghost wanted to force her to be a concubine. Yang fought the evil ghost with a sword in her dream. At the critical moment, she and a warrior named Wang shot the evil ghost to death. Yang and Lian Suo were together every day. One day, Lian told Yang that because she had been eating cooked food and receiving human breath for a long time after she died, her bones had become alive and she had the conditions for resurrection, but she had to have sex with Yang. However, Yang would definitely get a serious illness.",Lian Suo: A Chronicle of Spectral Desire,“A Chronicle”是为了保留原片名“譚”（Tale/Chronicle）的古典文学叙事感，与聊齋志異的背景相符。“Spectral Desire”则直接点明了故事核心：关于幽魂（Spectral）的禁忌之爱和情色（Desire）内容，精准地传达了“艷譚”的意涵。
The Warlords,投名狀,The civil war in China has ruined many lives including General Pang's. A wounded General Pang is saved by a beautiful young woman along with two other men. Together they vow to eradicate the rebels.,,此译名捕捉了“投名状”作为一种用鲜血或暴力行为来证明忠诚、不可反悔的盟誓的文化意涵，避免了过于直白的逐字翻译。它强调了誓约的庄重与代价，契合电影中兄弟立誓共赴乱世的史诗基调。
Reign of Assassins,剑雨,"Set in ancient China, Zeng Jing is a skilled assassin who finds herself in possession of a mystical Buddhist monk's remains. She begins a quest to return the remains to its rightful resting place, and thus places herself in mortal danger because a team of assassins is in a deadly pursuit to possess the remains which holds an ancient power-wielding secret.",,
Ma Yongzhen: Duel in Zhabei,马永贞之闸北决,"This film tells the story of Ma Yongzhen, who was born in a family of martial arts in the early years of the Republic of China. In order to help the people of Shanghai's Zhabei district, Teacher Ma ventured into danger alone, relying on his martial arts and a fiery patriotic heart to fight the Five Lakes Gang and the French martial artists.",,
Nine Colors Deer King,九色鹿王·前尘,"Huanyi Village had a strange disease rampant. Under the guidance of Elder Xi, the mountain guardian Changsheng searched for medicinal herbs for the villagers, but this was inefficient and dangerous, so Changsheng decided to find the legendary Nine-color Deer King to save the village; In the middle of the story, the demon queen strayed to control the palace and sought the trace of the nine-colored deer king in order to practice sorcery",The Nine-Colored Deer King: Karmic Echoes,“Nine-Colored Deer King”保留了神话原型和“九色鹿”这一中国特有的佛教典故；“Karmic Echoes”（业力回响）则取代了直译的“前尘”，以更流畅且富有禅意的词汇，准确地传达了“前尘”所蕴含的宿命、因果以及对过去世的追溯。
Iron Kung Fu Fist,广东十虎：铁拳无敌,"Liang Kun has been practicing Shaolin kung fu for years. To protect his beloved, he vows not to interfere with matters of the martial arts world. But then, the person he loves the most dies tragically as a result. Finally grasping the true meaning of the martial arts world, Liang Kun decides to fight various groups of bandits in order to avenge his beloved.",The Ten Tigers of Canton: Iron Fist Unconquerable,该译名首先使用了香港武侠片翻译中常用的“Canton”代替“Guangdong”，以准确传达“广东十虎”这一经典的中国武术文化背景。核心词“铁拳无敌”被转化为富有力量感的短语“Iron Fist Unconquerable”，既保留了极致力量的意味，也使译名在英文语境中更加流畅和具有史诗感。
