English Title,Chinese Title,Overview,Extracted_English_Title,Translation_Reason
The Chinese Widow,烽火芳菲,"It’s 1941 and the Japanese attack on Pearl Harbor has destroyed America’s morale. The US President Franklin D. Roosevelt then decides to risk it all by bombing Tokyo and raise more hope for his citizens. After completing its mission, a unit of the US Air Force is forced to make an emergency landing in China. Its commander Jack Turner (Emilie Hirsch) barely survives but gets rescued by Ying (Crystal Liu), a local widow who will stop at nothing to hide him from the Japanese occupant.",Flames of the Phoenix,"我选择了这个译名是因为它保留了原片名中的""烽火""这一元素，表示战争和烈焰的意象，同时也隐含了中国文化中的""凤凰涅槃""的象征意义，表达了战争的重生和希望。"
New Gods: Nezha Reborn,新神榜：哪吒重生,"While living as an ordinary deliveryman and motor racing fan, Nezha encounters old nemeses and must rediscover his powers to protect his loved ones.",Rebirth of the God of War,"我选择了 ""Rebirth of the God of War"" 作为翻译，因为它保留了原片名中 ""哪吒重生"" 的核心意涵，即哪吒的重生和复活。同时，这个译名也能体现出神话元素和动作冒险的基调。"
The Promise,无极,"An orphaned girl, driven by poverty at such a young age, makes a promise with an enchantress. In return for beauty and the admiration of every man, she will never be with the man she loves. This spell cannot be broken unless the impossible happens: snow falling in spring and the dead coming back to life. Now a grown and beautiful princess, she regrets her promise, for all of the men she's loved has always been met with tragedy.",Eternal Silence,"我选择了""Eternal Silence""作为翻译，因为它保留了原片名""无极""的空虚和寂静的感觉，同时也体现了电影中女主角的痛苦和绝望。""无极""这个词在中文中意味着没有极限或边界，但在英文中，我选择了""Silence""来表示一种无法打破的沉默和孤独。"
A Year in the Clouds,司馬庫斯,"High in the mountains of Taiwan, is the remote village of Smangus. Inhabited by a unique group of indigenous people called the Tayal, Smangus is the only place in Taiwan that now practices common ownership of land and property. This is a place where nature and man have found balance. Now, witness every part of the lives of these people, through pain and joy, and experience the unique bonds formed with the ancient trees around them, in a film that documents A Year In The Clouds - a year amongst the sacred forests of this tribe.",The Guardians of the Clouds,"我选择了这个译名是因为它保留了原片名中的""Clouds""（云）元素，体现了电影中台湾山区的自然环境和天气特征。同时，""The Guardians""（守护者）一词强调了电影中描绘的台湾原住民对自然的深厚感情和保护精神。"
Master Of The Shadowless Kick: Wong Kei-Ying,擎天無影腳黃麒英,A quiet physician from southern China masters martial arts to protect his son and stop a corrupt governor.,The Unseen Shadow of the Golden Qilin,"我将片名中的""擎天無影""翻译为""The Unseen Shadow""，强调了影子在暗处观察和保护的意涵。""黃麒英""则被翻译为""Golden Qilin""，Qilin 是中国传统文化中的祥瑞动物，黄色代表光明和正义，因此结合了片名中保护和正义的主题。"
Monster Hunt,捉妖记,Young monster kids try to make peace between the world of humans and the world of the monsters.,Monster Catcher's Journal,"我选择了 ""Monster Catcher"" 来表示捉妖的概念，强调了电影中人类和妖怪之间的和解。""Journal"" 这个词语体现了孩子们的日记或记录，暗示了他们的冒险和成长过程。"
Sparkling Red Star,闪闪的红星 孩子的天空,"An animated remake of the 1974 children's movie ""Shan shan de hong xing""",,"我选择了 ""Twinkling Star"" 来翻译 ""闪闪的红星""，因为它保留了原片名中闪亮的光芒和星星的形象，更加自然和生动。同时， ""Childhood Sky"" 来翻译 ""孩子的天空""，它强调了电影的主题是关于孩子的天空和梦想，更加贴切和诗意。"
Wonderful! Liang Xi Mei,旺得福梁细妹,"Liang Xi Mei (Jack Neo) is finally back! Having retired, Liang Xi Mei spends her time looking after her two obedient grandsons. However, Liang Xi Mei still leads a colorful life thanks to her absent-minded BFF Guang Dong Po (Wang Lei), who frequently muddles things up, leaving Liang Xi Mei to resolve the mess; and Lion King (Henry Thia) who is now diagnosed with mild Alzheimer’s, causing confusion and frustrations for everyone. Robert (Mark Lee), Liang Xi Mei’s eldest son also adds to her woes. Robert is a dreamer who often schemes to get rich quick. This causes Liang Xi Mei to find him unreliable and puts all her hopes on her youngest son Albert (Benjamin Josiah Tan). Her favoritism stirs up jealousy within Robert, who vows to strike it rich to win back Liang Xi Mei’s approval.",福气满满的梁细妹,我选择保留原片名中的“旺得福”（福气）一词，因为它在中文中有着丰富的文化含义，代表着好运和幸运。同时，我将“梁细妹”直接翻译为“梁细妹”，以保持原片名的文化特征和个人名称的完整性。
Saturday Fiction,兰心大剧院,"Iconic actress Jean Yu returns to Japanese-occupied China to star in a play directed by her former lover. However, her undercover work for the Allies soon places her life in grave danger.",The Heart of the Opera House,"我选择了这个译名是因为它保留了原片名中的""兰心""这一意象，暗指主角Jean Yu的演艺背景和情感深度，同时将""大剧院""转化为""Opera House""，以体现其作为戏剧场景的文化意涵。"
The Sacrifice,金刚川,"In 1953 the Korean War is entering the final stage. The People's Volunteer Army of China has launched its last major battle in Kumsong. In order to arrive on time and deliver enough ammo to the Kumsong front line, the soldiers have to defend themselves against the never ending bombardments of enemy bombers and race against time to repair the last bridge, all while facing supply shortages and with inferior equipment.",Golden River,"我选择了 ""Golden River"" 作为翻译，因为 ""金刚川"" 这个片名结合了中国文化中的 ""金刚"" 这个象征力量和勇气的元素，以及 ""川"" 这个表示河流的字，暗示着河流的重要性和战场的背景。""Golden River"" 这个译名既能体现原片名的文化意涵，又能在英文语境中流畅自然。"
The Traveller,异人之下,"Zhang Chulan, who has been hiding his identity as an Inhuman, is caught up in the vortex of fighting between different Inhuman sects since he meets Feng Baobao, who has a mysterious background. As the secret that Zhang Chulan is the heir to the mysterious technique ""Air Body Source Stream"" is made public, the Inhuman world has started a fierce battle around him, with forces such as Nadutong, Quanxie Sect, Tianyi Sect, and so on appearing one by one and the battle is about to break out, but at this time, Zhang Chulan accidentally unveils the secret of the year....",Beyond the Human Realm,"我选择了这个译名是因为它保留了原片名中的""异人""这一关键词，强调了片中主角的超自然身份，同时也体现了片名中蕴含的中国文化元素。""Beyond the Human Realm"" 这个译名在英文语境中自然流畅，能够让观众了解片中主角的身份和世界观。"
Mulan Angels 2: Treasure Map,木兰特工之藏宝图,"There is Mulan Secret Service Organization and they’re Mulan second-generation female agents - Wei Xiaohua (played by Li Xianglin) and Mu Yi (played by Qiu Zixin) And He Zhaoyang (Zhu Hong) to carry out the task of fighting for the treasure map of burying nuclear waste and rare earths. He Zhaoyang tempted the pirate leader Dawton, who was holding a treasure map with her beauty, but almost fell into the trap set by Dawton and Mrs. J, the highest commander of the European Division of the Red Corpse Group. Fortunately, Wei Xiaohua was rescued in time, and with the help of the only surviving agent of the first generation, the only surviving agent of the first generation, Park Enxi",The Map of Hidden Treasures,我选择了这个译名是因为它保留了原片名中的“藏宝图”这一关键元素，同时将其与“木兰特工”这一组织名称结合起来，体现了电影的主题和背景。这个译名在英文语境中自然流畅，能够让观众了解电影的内容和情节。
Youth,芳华,"A group of performing art troupe members each face their own trials and tribulations in Chengdu; from escaping a family scandal to dealing with unrequited love, each experiences rejection that shapes their lives.",Youthful Years,"我选择了这个译名是因为它保留了原片名中的""芳华""这个词的文化意涵，指的是年轻人的青春期和成长过程。同时，它也简洁明了，能够在英文语境中自然流畅地表达出电影的主题。"
Return to Lanruo Temple,兰若行者,"Soon after exorcist Yan Chixia (from ""Chinese Ghost Story"") retired, the Black Mountain monsters disturbed the surrounding area one more time, and experts from Kunlun sect could not even handle it. The messenger in the village trusted by Yan Chixia informed of the appearance of the dead soul flower and the strange apparitions around the village, and asked Yan Chixia for help. Yan Chixia did not follow the little monster's advice and decided to go out and investigate.",The Wanderer of the Lotus Mountain,"我选择了这个译名是因为它保留了原片名中的""兰若""（即兰花和若隐若现的意象），并结合了""行者""的概念，形成了一个完整的、富有中国文化意味的英文片名。这个译名不仅自然流畅，还能体现原片名中蕴含的佛教和中国文化元素。"
160 Years Old,雨打芭蕉,"A father who cannot cure his own stubborn illness, a professor mother who struggles with existential questions, a son who is confused and precocious, a giant tortoise that suddenly leaves, and a sentimental grandfather who passed away. The uncle cannot finish reading THE OLD MAN AND THE SEA. The aunt won't get married. The grandfather is his own daughter's enemy. The uncle does not want to return from the Philippines. And an unborn child. Summer goes, and autumn comes. Things remain, but people change.",Rainy Days and Bamboo,"我选择了这种翻译方式是因为它保留了原片名中的""雨打""这一元素，表达了电影中夏末秋初的季节背景，同时将""芭蕉""转化为""Bamboo""，这不仅是对植物的称呼，也隐含了中国文化中对竹子的象征意义，如耐久、坚韧等。这种翻译方式既自然流畅，又能体现原片名的文化意涵。"
The Iron Coffin of Western Xia,洗冤录之西夏铁棺,"The King of Western Xia has a precious garment called ""Bi Lu"", which is said to be able to help mortals to ascend to immortality. The emperor is furious and orders Song Ci to find out the truth, whether it is the Western Xia that has the intention to rebel or whether it is really the treasure clothes that hook the soul.",The Iron Coffin of the Western Xia,"我选择了这个译名是因为它保留了原片名中的""西夏""这一关键元素，表明了电影的背景和故事的发生地。同时，""铁棺""这个词语在中文中有着强烈的暗示和象征意义，暗示着死亡、绝望和不朽，这在英文语境中也能被理解和体现。"
White Snake: Afloat,白蛇：浮生,"Xiaobai finally found Xu Xian, the reincarnation of Axuan, after 500 years, the two met on the Broken Bridge. Xiaobai and sister hid in the streets and alleys, started a lively life in human world with him and his brother-in-law Li Gongfu.",The White Snake's Ephemeral Life,"我选择了 ""Ephemeral Life"" 来翻译 ""浮生""，因为 ""浮生"" 这个词语在中文中常常用来描述人生短暂而易逝的性质，而 ""Ephemeral"" 在英文中同样意味着短暂、易逝。这样一来，片名就能体现出白蛇的故事中人生短暂的主题。"
The Fatality,絕魂印,"Somehow, a mentally disturbed 30-year-old man from Taipei finds himself waking up out of a coma in a hospital in a small coastal town in Thailand.  A woman is at his bedside, calling him Assanee. But that's not his name. His name is Her Sue Yong. And besides, he can't speak Thai. He leaps from his bed and runs, and the nurses give chase.  In Taiwan, he was a bedraggled, long-haired scavenger. He had a disfigured face. But in Thailand, the skin on his face is smooth and his hair is short. He's a clean-cut young man with a beautiful wife. And he has a job as a civil servant in a government office. His inability to speak Thai is no problem at work. Heck, there's even a deaf-mute on the staff. All Assanee has to do is wait for people to hand him forms, and he stamps them. Seems easy enough.",The Mark of Madness,我选择了这个译名是因为它保留了原片名中的关键词“絕魂”，并将其与“印”联系起来，暗示了主角的身份和精神状态的变化。同时，“The Mark of Madness”也能体现出电影的主题，即主角的精神病和身份的扭曲。
The Myth,神話,"When a fellow scientist asks for Jack's help in locating the mausoleum of China's first emperor, the past collides violently with the present as Jack discovers his amazing visions are based in fact.",Myth of the Ancients,"我选择了 ""Myth of the Ancients"" 来翻译 ""神話""，因为这名字既能体现原片名的文化意涵，也能在英文语境中流畅自然。""Myth"" 这个词不仅指代神话故事，也暗示着古代的神秘和神奇，很适合描述这部电影的主题。"
Free as Love,浮生若夢,"Little Three was originally a cheerful and full of sense of the girl, since cousin Xiaoying  to save her into the sea after they began to banish themselves, but also redefine the weight of the feelings. Xiao Tai. As a matter of skill, a police academy was arranged to the undercover society, in her kind heart, there has always been the right and wrong contradictions and struggles. Fight, in her lost world, became her only emotional outlet.",Life Like a Dream,我选择了这个译名是因为它保留了原片名的核心意涵，即人生如同梦境一样短暂和易变。同时，这个译名也能体现出电影中女主角的内心世界和情感的波动。
Taishan Kung Fu,泰山功夫,"Liu Wenhu, the owner of the Liu's Martial Arts Hall in Mount Tai, sets up competitions every year with big money as bait. For several years in a row, he defeated the martial arts masters who came to challenge. So he dominated the country, ran rampant in the village, oppressed the people, and seized the people's daughters. Shi Xiaoyi, the successor of Taishan Stone Art, saw it in his eyes and was angry in his heart.",The Mountain's Fury,"我选择了 ""The Mountain's Fury"" 作为翻译，因为它保留了原片名中的 ""泰山"" 这个关键词，强调了电影的背景和主题，同时 ""Fury"" 的字眼也体现了电影中主角的愤怒和反抗的情绪。"
The Ghost Story: Lin Suk,聊齋艷譚：连锁,"In the latest version of ""Liao Zhai: Lian Suo"" released in 2014, the scholar Yang Ziwei met Lian Suo at a cemetery. The two did not do that, but wrote poems and painted every night. His friend Xue Sheng learned that Yang Ziwei had a woman with him every night, so he brought his friends to visit Yang's house, which frightened Lian Suo so much that she dared not show up. Yang asked Lian Suo for forgiveness. Later, Lian Suo cried and complained that an evil ghost wanted to force her to be a concubine. Yang fought the evil ghost with a sword in her dream. At the critical moment, she and a warrior named Wang shot the evil ghost to death. Yang and Lian Suo were together every day. One day, Lian told Yang that because she had been eating cooked food and receiving human breath for a long time after she died, her bones had become alive and she had the conditions for resurrection, but she had to have sex with Yang. However, Yang would definitely get a serious illness.",The Lian Suo Legacy,"我选择了 ""The Lian Suo Legacy"" 作为译名，因为它保留了原片名中的 ""Lian Suo"" 这个关键词，同时也强调了这部电影的主题，即连锁的故事和遗产。""Legacy"" 这个词也暗示了电影中 Lian Suo 的复活和她的故事的延续。"
The Warlords,投名狀,The civil war in China has ruined many lives including General Pang's. A wounded General Pang is saved by a beautiful young woman along with two other men. Together they vow to eradicate the rebels.,"""The Mark of a Hero""","我选择了这个译名是因为它保留了原片名中的""投名狀""这个词的核心意思，即""标志""或""记号""，同时也体现了电影中主人公的英雄主义精神。这个译名在英文语境中听起来自然流畅，也能让观众了解电影的主题和情节。"
Reign of Assassins,剑雨,"Set in ancient China, Zeng Jing is a skilled assassin who finds herself in possession of a mystical Buddhist monk's remains. She begins a quest to return the remains to its rightful resting place, and thus places herself in mortal danger because a team of assassins is in a deadly pursuit to possess the remains which holds an ancient power-wielding secret.",Rain of Swords,"我选择了这个译名是因为它保留了原片名中的""剑雨""的核心意念，即雨和剑的结合，暗示了电影中的暴力和危险。同时，""Rain of Swords"" 的表达方式也更加自然流畅，在英文语境中更容易让人理解电影的内容。"
Ma Yongzhen: Duel in Zhabei,马永贞之闸北决,"This film tells the story of Ma Yongzhen, who was born in a family of martial arts in the early years of the Republic of China. In order to help the people of Shanghai's Zhabei district, Teacher Ma ventured into danger alone, relying on his martial arts and a fiery patriotic heart to fight the Five Lakes Gang and the French martial artists.",The Zhabei Hero,"我选择了 ""The Zhabei Hero"" 作为翻译，因为它保留了原片名中的 ""闸北"" 这个地名，表明了电影的背景和故事的发生地，同时也强调了主角马永贞的英雄行为。"
Nine Colors Deer King,九色鹿王·前尘,"Huanyi Village had a strange disease rampant. Under the guidance of Elder Xi, the mountain guardian Changsheng searched for medicinal herbs for the villagers, but this was inefficient and dangerous, so Changsheng decided to find the legendary Nine-color Deer King to save the village; In the middle of the story, the demon queen strayed to control the palace and sought the trace of the nine-colored deer king in order to practice sorcery",The Nine-Colored Deer's Forgotten Past,"我选择了这个译名是因为它保留了原片名中关于九色鹿王的核心元素，同时也隐含了""前尘""的意思，表明了故事的背景和情节的发展方向。这个译名在英文语境中也比较自然流畅，能够让观众快速理解电影的内容和主题。"
Iron Kung Fu Fist,广东十虎：铁拳无敌,"Liang Kun has been practicing Shaolin kung fu for years. To protect his beloved, he vows not to interfere with matters of the martial arts world. But then, the person he loves the most dies tragically as a result. Finally grasping the true meaning of the martial arts world, Liang Kun decides to fight various groups of bandits in order to avenge his beloved.",The Iron Fist of Guangdong,"我选择了这个译名是因为它保留了原片名中的""广东""这一地名元素，表明了电影的背景和故事的发生地，同时也强调了""铁拳""这一符号的重要性，突出了电影的主题和情节。这个译名在英文语境中自然流畅，并能体现原片名的文化意涵。"
